"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"ALOX5AP",2.48445921598472e-63,-0.73509647001563,0.005,0.322,4.61016252118124e-59,"ZR"
"POLE4",4.38556450829551e-63,0.460059539297489,0.548,0.169,8.13785350159315e-59,"ZR"
"QPCT",8.40057422681616e-63,0.488415341345117,0.452,0.112,1.55881055352801e-58,"ZR"
"CST3",1.07404874495755e-62,-0.449716174438925,0.963,0.644,1.99300485114324e-58,"ZR"
"CHP1",1.36413389678174e-62,0.45542011090912,0.422,0.103,2.53128685886819e-58,"ZR"
"NME4",1.48176852497548e-62,0.419963489103993,0.388,0.08,2.7495696749445e-58,"ZR"
"INAFM1",2.71175795665855e-62,0.422386452186397,0.425,0.098,5.03193806437561e-58,"ZR"
"MRPL57",3.70360995689662e-62,0.482073679549225,0.635,0.235,6.87241863601738e-58,"ZR"
"CCL4L2",4.14738006979989e-62,-2.28544565203152,0.035,0.376,7.69587845752068e-58,"ZR"
"DEXI",4.43137767404519e-62,0.399382109783704,0.378,0.075,8.22286441195826e-58,"ZR"
"TMEM59",5.47820924047931e-62,0.504533058020216,0.837,0.434,1.01653650666334e-57,"ZR"
"NDN",7.33006530630503e-62,0.39686579209264,0.343,0.06,1.36016691823796e-57,"ZR"
"SCD5",8.49682368970834e-62,0.466940553541329,0.44,0.106,1.57667060386228e-57,"ZR"
"LSS",3.43260029431023e-61,0.298793671991254,0.22,0.018,6.36953310612206e-57,"ZR"
"ETFA",1.89622183289787e-60,0.392796611548354,0.462,0.122,3.51862923312529e-56,"ZR"
"CSTB",3.52440467057992e-60,0.539374848856469,0.758,0.362,6.53988530672809e-56,"ZR"
"COX8A",7.26058701499891e-60,0.468068545080699,0.874,0.485,1.3472745265032e-55,"ZR"
"WISP2",7.30993060458879e-60,0.257650279768094,0.195,0.013,1.3564307229875e-55,"ZR"
"KLF6",1.44124061397239e-59,-0.900630844371195,0.089,0.454,2.67436608328717e-55,"ZR"
"CD3D",1.55075236700636e-59,-0.755881223301488,0.002,0.298,2.877576092217e-55,"ZR"
"NDUFV2",2.8477851276275e-59,0.456626917114596,0.63,0.238,5.28435008282559e-55,"ZR"
"MRPS33",2.88394403564605e-59,0.408172019180135,0.467,0.127,5.35144655254481e-55,"ZR"
"NDUFA10",3.00274260597723e-59,0.382070154139964,0.467,0.129,5.57188917965134e-55,"ZR"
"CYB5B",3.61897353271199e-59,0.306371876246304,0.575,0.226,6.71536728730038e-55,"ZR"
"DLD",3.70145696660162e-59,0.376741269589607,0.37,0.075,6.86842354722597e-55,"ZR"
"ST3GAL4",4.19397851535046e-59,0.378617372373475,0.353,0.067,7.78234653308432e-55,"ZR"
"COX6A1",4.4478725313947e-59,0.471549022263574,0.879,0.496,8.253472269256e-55,"ZR"
"TUBB4A",6.11478617460546e-59,0.348590599520632,0.304,0.047,1.13465972255979e-54,"ZR"
"NDUFB3",1.22109172190048e-58,0.468243065711261,0.583,0.206,2.26585779915852e-54,"ZR"
"ATOX1",2.72065031944132e-58,0.461713873156953,0.652,0.259,5.04843873275532e-54,"ZR"
