"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"CPNE3",8.722194345718e-07,0.288860984176591,0.307,0.09,0.0161849038279143,"Glia cells"
"H1F0",9.04474403891199e-07,0.280001443032848,0.24,0.058,0.0167834270386051,"Glia cells"
"CST7",9.12976051614276e-07,-0.655127691753573,0.053,0.275,0.0169411836137545,"Glia cells"
"CD3D",9.28536187771346e-07,-0.63452058902643,0.067,0.291,0.0172299175002851,"Glia cells"
"RHOB",9.39940657241627e-07,0.381009608851072,0.64,0.341,0.0174415388357756,"Glia cells"
"SARS",9.69665015870902e-07,0.283903658429966,0.253,0.123,0.0179931040345005,"Glia cells"
"RAC2",9.99260556644542e-07,-0.371667551921963,0.013,0.21,0.0185422788890961,"Glia cells"
"EGR1",1.00268120715259e-06,0.439615740984013,0.56,0.272,0.0186057524799234,"Glia cells"
"APLP2",1.09943945955519e-06,0.401441787757743,0.507,0.231,0.0204011986115061,"Glia cells"
"WRB",1.1177392757735e-06,0.276953140671588,0.253,0.073,0.020740770001253,"Glia cells"
"IFIT3",1.20309814655929e-06,0.324382370382802,0.293,0.084,0.0223246892075541,"Glia cells"
"C1QA",1.30447191423399e-06,-1.84109905171456,0.053,0.242,0.0242057808405259,"Glia cells"
"RNASE6",1.31398396570512e-06,-0.355207837780812,0,0.151,0.0243822864676243,"Glia cells"
"CCL3",1.36800377289874e-06,-1.59454875982335,0.053,0.275,0.025384678009909,"Glia cells"
"ID2",1.40116562702396e-06,-0.608595208241615,0.133,0.389,0.0260000293750566,"Glia cells"
"PFDN5",1.4131112999231e-06,-0.513519769670901,0.68,0.827,0.026221693281373,"Glia cells"
"HSPA1B",1.45244165291535e-06,0.465811177828703,0.76,0.466,0.0269515073114973,"Glia cells"
"GNG2",1.45796279900757e-06,0.319055551694772,0.32,0.101,0.0270539576983844,"Glia cells"
"PFN1",1.49585424621555e-06,-0.666602808759538,0.653,0.809,0.0277570713927758,"Glia cells"
"IFI6",1.57772929635992e-06,0.330382106731345,0.72,0.438,0.0292763448232546,"Glia cells"
"APP",1.59683094785832e-06,0.38883684884342,0.52,0.243,0.029630795068459,"Glia cells"
"C1QB",1.61811552415133e-06,-1.66831844736015,0.053,0.224,0.030025751666152,"Glia cells"
"LIMA1",1.73529676654241e-06,0.268522405465061,0.293,0.088,0.032200166799961,"Glia cells"
"A1BG",1.73950183700416e-06,0.257269202055927,0.253,0.064,0.0322781960874491,"Glia cells"
"DYNLRB1",1.88960938175263e-06,0.378837110018412,0.48,0.271,0.0350635916878018,"Glia cells"
"ILK",1.99282866893644e-06,0.302957544627368,0.307,0.102,0.0369789287807847,"Glia cells"
"SDCBP",1.9976067486583e-06,-0.49245750939904,0.147,0.415,0.0370675908281033,"Glia cells"
"CPQ",2.01001260477682e-06,0.254180925559796,0.213,0.057,0.0372977938942387,"Glia cells"
"POLR2I",2.10004231110202e-06,0.356598356451363,0.387,0.184,0.0389683851248091,"Glia cells"
"FAM114A1",2.11481038797235e-06,0.267272248895579,0.253,0.065,0.0392424215592149,"Glia cells"
"VGLL4",2.38182150433091e-06,0.279419631373976,0.293,0.088,0.0441970798343644,"Glia cells"
"TRBC2",2.45165355980051e-06,-0.400251257630746,0.013,0.196,0.0454928834556583,"Glia cells"
"TNFAIP3",2.57506536544856e-06,-0.471078274267238,0.027,0.231,0.0477829129212634,"Glia cells"
"DPYSL2",2.57796118553591e-06,0.341214853423231,0.387,0.152,0.0478366477588043,"Glia cells"
"RRAS",2.57849481397842e-06,0.280500073146319,0.267,0.073,0.0478465497681836,"Glia cells"
"ANXA4",2.68442521650045e-06,0.250508386349037,0.24,0.061,0.0498121943173823,"Glia cells"
"IGKC",0,8.2102286998956,0.823,0.417,0,"B cells"
"IGHG1",0,7.66307789432417,0.705,0.115,0,"B cells"
"IGHG4",0,7.21839165064221,0.714,0.204,0,"B cells"
"JCHAIN",0,3.92954625895932,0.509,0.01,0,"B cells"
"MZB1",0,2.76082881813309,0.71,0.011,0,"B cells"
"CD79A",0,2.22987098241737,0.767,0.005,0,"B cells"
"SSR4",0,1.98801252167863,0.807,0.522,0,"B cells"
"DERL3",0,1.36926724351173,0.576,0.004,0,"B cells"
"XBP1",0,1.34412835170371,0.67,0.185,0,"B cells"
"FKBP11",0,1.24509443457126,0.617,0.091,0,"B cells"
"TMSB4X",0,-1.68973737802454,0.712,0.998,0,"B cells"
"JSRP1",1.00470526724445e-316,0.752107919079895,0.416,0.003,1.8643310938988e-312,"B cells"
"IGLC2",1.51305320803896e-304,7.44769871905761,0.411,0.106,2.80762153283709e-300,"B cells"
"DPEP1",1.82409270195601e-285,0.773791701677003,0.354,0.001,3.38478641774958e-281,"B cells"
"HERPUD1",6.70786953400545e-282,1.41820193231377,0.789,0.362,1.24471227073005e-277,"B cells"
"ITM2C",4.0835967459287e-253,1.05303986789771,0.578,0.074,7.5775221217453e-249,"B cells"
"SPAG4",3.90380791600842e-244,0.572069911869852,0.353,0.005,7.24390596894523e-240,"B cells"
"ACTB",9.31805533982724e-241,-1.44211734843411,0.564,0.969,1.72905834885834e-236,"B cells"
"FTH1",7.20236089089505e-234,-1.70228960449301,0.673,0.99,1.33647008691449e-229,"B cells"
"PRDX4",2.59302548392284e-221,0.814755881353205,0.528,0.088,4.81161808796723e-217,"B cells"
"PIM2",1.42062586298763e-213,0.821754837733789,0.46,0.038,2.63611335135985e-209,"B cells"
"SEC11C",1.45310424912221e-209,0.833442320533072,0.533,0.112,2.69638024467118e-205,"B cells"
"MT-ATP6",5.9358048293111e-206,-1.36514659790438,0.67,0.979,1.10144794412697e-201,"B cells"
"TNFRSF17",6.74007408530308e-206,0.398557809367855,0.249,0,1.25068814726884e-201,"B cells"
"RPL36",2.19636305003222e-204,-0.896117759945692,0.773,0.993,4.07557127563979e-200,"B cells"
"ITM2B",5.29442282598894e-200,-1.26165784630793,0.249,0.805,9.82433099590508e-196,"B cells"
"MYL6",5.11333078604209e-194,-1.04749108074788,0.46,0.918,9.4882966065797e-190,"B cells"
"RPL31",1.91598644043701e-190,-0.802778245637174,0.663,0.98,3.55530443887492e-186,"B cells"
"RPL38",1.17500725571646e-179,-0.770906338292999,0.559,0.955,2.18034346370746e-175,"B cells"
"RPS24",1.41039604733391e-178,-0.859761444302771,0.647,0.971,2.6171309054328e-174,"B cells"
"MT2A",3.18750738080703e-178,-1.66222346188591,0.254,0.806,5.91473869582552e-174,"B cells"
"HLA-A",1.72441882171842e-171,-1.05941494512917,0.681,0.967,3.19983156558069e-167,"B cells"
"ATP5F1E",1.5341457541656e-170,-0.892901560985724,0.588,0.948,2.84676086142969e-166,"B cells"
"IGHG2",8.27850538673151e-163,3.17874498060304,0.259,0.005,1.5361594595619e-158,"B cells"
"RPL37A",8.61726469740286e-162,-0.69458489861001,0.813,0.993,1.59901963725007e-157,"B cells"
"IGHG3",1.8830599273005e-160,5.26181648643281,0.371,0.038,3.49420600109881e-156,"B cells"
"RPL12",1.12149218680335e-158,-0.730938362042621,0.784,0.99,2.0810409018323e-154,"B cells"
"MT-CO1",1.47340307594549e-157,-1.31759907264201,0.92,0.995,2.73404674772445e-153,"B cells"
"RPL26",8.64786873835676e-156,-0.744640382510954,0.821,0.991,1.60469852308948e-151,"B cells"
"FCRL5",1.33120156537216e-155,0.271906075719156,0.193,0,2.47017762470457e-151,"B cells"
"MT-CO3",7.67454789278443e-155,-1.29908981221833,0.85,0.992,1.42408910698508e-150,"B cells"
"RPS27",3.37108917287957e-154,-0.621717121074211,0.915,0.999,6.25539306919534e-150,"B cells"
"RPS25",1.93967696305983e-153,-0.665347471495999,0.779,0.989,3.59926457265382e-149,"B cells"
"RPL32",3.10427086910551e-153,-0.576172846226934,0.896,0.997,5.76028502471219e-149,"B cells"
"PTMA",4.16487989884557e-152,-0.759014500447736,0.748,0.983,7.72835114029785e-148,"B cells"
"MT-ND3",3.11680776689112e-149,-1.24015484261057,0.67,0.963,5.78354849224315e-145,"B cells"
"S100A6",5.9877332149594e-148,-1.3575904505268,0.256,0.758,1.11108377536787e-143,"B cells"
"UBA52",7.76076140857637e-147,-0.647650690660008,0.629,0.961,1.44008688697543e-142,"B cells"
"MT-ND4",3.94150601063855e-146,-1.24738037004709,0.845,0.99,7.31385855334089e-142,"B cells"
"RPL39",3.29002390286168e-145,-0.595763348578711,0.845,0.995,6.10496835415013e-141,"B cells"
"RPS20",7.49988946498357e-144,-0.608095020079869,0.709,0.978,1.39167948912235e-139,"B cells"
"RPL41",3.99494813575401e-142,-0.671017170264615,0.98,1,7.41302576070513e-138,"B cells"
"RPL37",8.88393701196457e-141,-0.603500567481923,0.721,0.98,1.64850335194014e-136,"B cells"
"RPL35A",1.12662531603036e-140,-0.645217704792062,0.806,0.99,2.09056593642593e-136,"B cells"
"IGLC3",1.94017365820375e-139,6.13804693775234,0.254,0.022,3.60018624016288e-135,"B cells"
"RPL30",4.99501703824639e-137,-0.607514083712274,0.709,0.976,9.26875361616999e-133,"B cells"
"TMSB10",5.18241811004838e-136,-1.45356408847524,0.62,0.904,9.61649504500577e-132,"B cells"
"IGHM",6.18129004058428e-134,2.53056314773358,0.206,0.004,1.14700017993082e-129,"B cells"
"RPS27A",9.62211898173385e-133,-0.602196133844592,0.894,0.996,1.78548039825053e-128,"B cells"
"EEF1A1",1.71526685204131e-132,-0.501096517595061,0.911,0.999,3.18284917064786e-128,"B cells"
"IFI27",3.78445712119167e-132,-2.20289763400403,0.131,0.618,7.02243863408326e-128,"B cells"
"RPL34",9.92893121104238e-130,-0.608232877365003,0.932,0.998,1.84241247552102e-125,"B cells"
"FAM30A",5.55954651045966e-129,0.332919364804594,0.17,0.001,1.03162945048089e-124,"B cells"
"RPL11",3.0491792864489e-128,-0.484166394721798,0.872,0.995,5.65805708393458e-124,"B cells"
"RPS29",1.40961318822514e-126,-0.619278595236627,0.879,0.995,2.61567823207058e-122,"B cells"
"RPL13A",3.7737130876036e-125,-0.515922661224868,0.94,1,7.00250200535725e-121,"B cells"
"APOE",1.4422647061877e-124,-1.94246022264359,0.382,0.815,2.6762663888019e-120,"B cells"
"RPS12",1.48227662921526e-124,-0.538737254642145,0.882,0.996,2.75051251317184e-120,"B cells"
"MT-ND2",4.07923096771154e-124,-1.12125996147502,0.821,0.978,7.56942098368554e-120,"B cells"
"RPL28",1.88665640818433e-123,-0.611090054829328,0.876,0.995,3.50087963102684e-119,"B cells"
"MT-CO2",1.13414309068061e-122,-1.11751177636971,0.939,0.995,2.10451591906694e-118,"B cells"
"FAU",9.31754958539327e-122,-0.557891826726003,0.825,0.988,1.72896450106558e-117,"B cells"
"MT-CYB",9.96432789523225e-121,-1.13405963667034,0.763,0.966,1.8489806842393e-116,"B cells"
"RPL27",2.63360786387809e-120,-0.608327115475073,0.666,0.956,4.88692275221218e-116,"B cells"
"PFN1",3.45328340265382e-118,-0.922731319264971,0.402,0.825,6.40791268196442e-114,"B cells"
"CST3",6.26148742054942e-116,-1.82596543728294,0.21,0.672,1.16188160575715e-111,"B cells"
"RPS15",1.64638200176586e-114,-0.512099939158439,0.922,0.996,3.05502644247672e-110,"B cells"
"RPL9",1.24075375795661e-113,-0.493974044384528,0.739,0.976,2.30234267326429e-109,"B cells"
"CALM2",5.198806514981e-113,-0.845025400651525,0.366,0.796,9.64690536919874e-109,"B cells"
"RPS23",7.68894132167984e-112,-0.407097736108025,0.831,0.992,1.42675995165091e-107,"B cells"
"IFITM3",1.09662555143338e-111,-1.5048642407849,0.082,0.508,2.03489837323979e-107,"B cells"
"RPL23",2.66388830947169e-111,-0.667070842929321,0.569,0.91,4.94311114705568e-107,"B cells"
"GAPDH",1.83850321289925e-108,-0.728865678918236,0.497,0.868,3.41152656185585e-104,"B cells"
"RPL14",3.95189922213767e-108,-0.535839694597272,0.678,0.956,7.33314419659866e-104,"B cells"
"IL32",4.7395258835897e-108,-1.54029048699768,0.055,0.448,8.79466422958905e-104,"B cells"
"RPL21",2.59778835626464e-106,-0.535394671227195,0.925,0.995,4.82045607388467e-102,"B cells"
"RPL19",6.35933655453138e-106,-0.473796396915689,0.865,0.993,1.18003849105884e-101,"B cells"
"LY6E",1.02909476176967e-104,-1.00227482878354,0.15,0.58,1.9095882399398e-100,"B cells"
"RPS15A",4.12185386615078e-104,-0.539168359981902,0.927,0.997,7.64851203402939e-100,"B cells"
"H3F3A",2.98703153432579e-103,-0.668113215684192,0.482,0.862,5.54273571509494e-99,"B cells"
"RPS13",1.54689945553025e-102,-0.460372280799997,0.748,0.974,2.87042662968192e-98,"B cells"
"RPL35",7.96215491811402e-102,-0.565531601689524,0.857,0.988,1.47745746660524e-97,"B cells"
"RPS3A",1.63249649128636e-101,-0.434005276574784,0.731,0.972,3.02926048923098e-97,"B cells"
"COX7C",6.13454483824069e-101,-0.763939651665249,0.506,0.847,1.13832614018394e-96,"B cells"
"CCL5",9.53054910814882e-101,-1.96358853889338,0.056,0.409,1.76848869250809e-96,"B cells"
"MT-ND1",1.13240288258753e-100,-1.06310653791877,0.705,0.939,2.10128678892943e-96,"B cells"
"IGLV6-57",2.30427136983926e-100,0.262007283753587,0.124,0,4.27580595387373e-96,"B cells"
"RPLP2",5.37120713594966e-99,-0.375743527647298,0.922,0.997,9.96681196146819e-95,"B cells"
"S100A4",1.23396924223441e-97,-1.42215907528634,0.133,0.535,2.28975332589016e-93,"B cells"
"PFDN5",5.51799543836585e-97,-0.68300049694473,0.475,0.841,1.02391923354317e-92,"B cells"
"RPL27A",2.11558942313634e-96,-0.490491749924924,0.908,0.995,3.92568773357179e-92,"B cells"
"MYL12B",1.70975128525324e-95,-0.725223095035677,0.148,0.567,3.17261448491591e-91,"B cells"
"CFL1",4.57941543783464e-95,-0.826281363889549,0.348,0.743,8.49756328644597e-91,"B cells"
"RPL24",1.19474774282541e-93,-0.655872237122538,0.683,0.931,2.21697391158684e-89,"B cells"
"IGHA1",9.79973188685798e-91,4.60582019018387,0.264,0.038,1.81843824892537e-86,"B cells"
"S100A10",1.57732204260609e-90,-0.888768128896936,0.112,0.507,2.92687878225987e-86,"B cells"
"CCL4",4.49474673921254e-90,-2.34663303053626,0.131,0.509,8.34045204928279e-86,"B cells"
"RPS28",1.26217619988955e-89,-0.399608234733558,0.913,0.996,2.34209415651505e-85,"B cells"
"RPL22",2.04986298779939e-88,-0.561978903207839,0.564,0.887,3.80372576016054e-84,"B cells"
"RPS21",1.00795954534557e-86,-0.581360579151509,0.543,0.874,1.87036973234324e-82,"B cells"
"ACTG1",8.05437762057744e-85,-0.664912112221984,0.47,0.825,1.49457031127435e-80,"B cells"
"RPL29",1.86001908910862e-84,-0.512094625929476,0.79,0.971,3.45145142174995e-80,"B cells"
"SRP14",2.06517176719164e-84,-0.702622402200047,0.363,0.745,3.83213273120081e-80,"B cells"
"MYL12A",2.87133358444198e-84,-0.776463384878686,0.232,0.636,5.32804659929054e-80,"B cells"
"TMA7",4.09318999799242e-84,-0.688261868917701,0.344,0.724,7.59532336027474e-80,"B cells"
"NKG7",1.78806939808698e-83,-1.44552912427423,0.027,0.348,3.31794157509021e-79,"B cells"
"TPT1",1.79301626483239e-83,-0.525490736504855,0.823,0.984,3.32712098102298e-79,"B cells"
"ANXA1",9.20470107946848e-83,-0.733392632186089,0.034,0.37,1.70802433230617e-78,"B cells"
"S100A11",3.39255051378162e-82,-1.0068939387065,0.136,0.497,6.29521673337317e-78,"B cells"
"CTSD",2.45239712611879e-80,-0.660038063011452,0.066,0.417,4.55066810722603e-76,"B cells"
"SH3BGRL3",4.58249853665368e-80,-0.905955573759243,0.24,0.613,8.50328428461456e-76,"B cells"
"CD79B",1.05111573872881e-79,0.389529925228233,0.256,0.034,1.95045036478518e-75,"B cells"
"RPS3",3.36958039411927e-79,-0.497425316238377,0.833,0.981,6.25259337932773e-75,"B cells"
"RAC1",3.38456977354537e-79,-0.755427271390593,0.15,0.515,6.28040767179079e-75,"B cells"
"IFITM2",8.05202550248966e-79,-0.799056623991706,0.097,0.449,1.49413385224198e-74,"B cells"
"RPS16",2.02581214525354e-78,-0.439601821701029,0.85,0.984,3.75909701673248e-74,"B cells"
"ISG20",2.3317169206382e-78,0.648199675074462,0.574,0.225,4.32673391793625e-74,"B cells"
"SPCS2",1.98655249082767e-77,0.565061520977872,0.681,0.366,3.68624680197982e-73,"B cells"
"UQCR11",4.13613915667171e-77,-0.681599915121721,0.278,0.64,7.67501981912002e-73,"B cells"
"RPS9",4.40272895051983e-76,-0.477148941487941,0.818,0.973,8.1697038405846e-72,"B cells"
"RPL13",4.5484479220936e-76,-0.420735890337189,0.971,0.999,8.44009996423688e-72,"B cells"
"RPS17",1.23323353808755e-75,-0.600337839773631,0.545,0.855,2.28838815327525e-71,"B cells"
"GZMA",4.85050481812749e-75,-0.9480946591619,0.026,0.322,9.00059674051737e-71,"B cells"
"RPL15",9.8052623743599e-75,-0.435873138929008,0.891,0.989,1.81946448618622e-70,"B cells"
"COX5B",1.5114197782037e-74,-0.664873662575839,0.227,0.591,2.80459054043478e-70,"B cells"
"RPL36A",2.74881768118015e-73,-0.593676406495906,0.429,0.78,5.10070608919788e-69,"B cells"
"UBB",4.02438437927004e-73,-0.669496686819222,0.583,0.851,7.46764765417349e-69,"B cells"
"ID2",7.5318665320268e-73,-0.706656152596723,0.068,0.401,1.39761315368289e-68,"B cells"
"SPCS1",2.47847858575747e-72,0.523638741477791,0.61,0.321,4.59906486373156e-68,"B cells"
"PSMA7",6.52721284713211e-72,-0.616756099109119,0.203,0.565,1.21118961591383e-67,"B cells"
"CD3D",8.41154843950614e-72,-0.729895004597625,0.019,0.302,1.56084692843476e-67,"B cells"
"SKP1",9.95963007341927e-72,-0.685605616520872,0.259,0.613,1.84810895642368e-67,"B cells"
"SERF2",5.2893067437976e-71,-0.585084427948162,0.828,0.951,9.81483759379083e-67,"B cells"
"RPS14",3.83881098352043e-70,-0.396015007373888,0.949,0.997,7.12329766102051e-66,"B cells"
"RARRES2",4.22693193474229e-70,-1.37889415520691,0.211,0.561,7.8434948981078e-66,"B cells"
"RPS18",5.18029382280538e-70,-0.348462127201814,0.951,0.999,9.61255321759766e-66,"B cells"
"RPS10",1.73839323389174e-69,-0.457871339696259,0.683,0.924,3.2257624848095e-65,"B cells"
"RPS6",2.96871937195918e-69,-0.424203476980755,0.911,0.992,5.50875566660745e-65,"B cells"
"BTG1",3.90800748433779e-69,-0.796668401460551,0.388,0.739,7.25169868793721e-65,"B cells"
"COX6C",4.56622579275987e-69,-0.60276046174338,0.257,0.615,8.47308858104522e-65,"B cells"
"COMMD6",5.03393617621136e-69,-0.594542769383778,0.257,0.624,9.3409719685778e-65,"B cells"
"AKR1B1",1.15878486927517e-68,-1.12448988102048,0.203,0.55,2.150241203427e-64,"B cells"
"RPL23A",1.94332193428138e-68,-0.430343491699662,0.879,0.986,3.60602818125252e-64,"B cells"
"RPS7",2.67559725114951e-68,-0.39535363454648,0.782,0.963,4.96483825923303e-64,"B cells"
"RPL7",3.87743996868856e-68,-0.530551671527085,0.819,0.965,7.1949776058985e-64,"B cells"
"IFI6",1.02914355950507e-67,-0.976495074331714,0.124,0.453,1.90967878901761e-63,"B cells"
"CHCHD2",5.5514669488078e-67,-0.745743786876763,0.351,0.686,1.03013020702077e-62,"B cells"
"UBL5",7.47343819053173e-67,-0.623514837377078,0.261,0.598,1.38677119063507e-62,"B cells"
"HCST",2.14371628053665e-66,-0.844743328529729,0.124,0.441,3.97787993016381e-62,"B cells"
"TOMM7",2.47845440847961e-65,-0.604989894049703,0.353,0.693,4.59902000037476e-61,"B cells"
"CST7",3.25962377594884e-65,-0.735037832919144,0.024,0.285,6.04855787865066e-61,"B cells"
"CD63",3.30843159618363e-65,-0.73492874274706,0.383,0.641,6.13912566987835e-61,"B cells"
"H3F3B",5.97772855430142e-65,-0.573939340136857,0.663,0.903,1.10922731053617e-60,"B cells"
"CCL4L2",9.30185040280414e-65,-1.97569213113063,0.073,0.379,1.72605136074434e-60,"B cells"
"CEBPB",1.24604342285162e-64,-0.673031147727097,0.063,0.366,2.31215817544347e-60,"B cells"
"FKBP1A",2.13454345262969e-64,-0.610708718394789,0.092,0.402,3.96085883069965e-60,"B cells"
"UQCR10",7.34971868402468e-64,-0.58302534162989,0.17,0.512,1.36381379900762e-59,"B cells"
"CEBPD",1.31448060883835e-63,-0.80614829355308,0.056,0.353,2.43915021776045e-59,"B cells"
"HLA-B",2.83107426111455e-63,-0.612552456094996,0.886,0.942,5.25334139892415e-59,"B cells"
"GZMK",3.93733087911572e-63,-0.833498151027169,0.017,0.269,7.30611117928713e-59,"B cells"
"HSP90B1",4.44206529994826e-63,0.568030175776637,0.579,0.33,8.242696370584e-59,"B cells"
"SDCBP",9.54476219213883e-63,-0.573244465965584,0.107,0.426,1.77112607237328e-58,"B cells"
"HLA-E",1.12478868569555e-62,-0.781093706543041,0.518,0.747,2.08715788517666e-58,"B cells"
"RPS4Y1",1.22527147675387e-62,-0.59403978401661,0.167,0.505,2.27361375226448e-58,"B cells"
"BST2",1.44192522246799e-62,-0.78830811112455,0.227,0.55,2.67563644281161e-58,"B cells"
"RPS19",1.82961239184242e-61,-0.486829734390232,0.952,0.997,3.3950287543028e-57,"B cells"
"APOC1",1.85526420050731e-61,-1.22989579594751,0.223,0.557,3.44262825046137e-57,"B cells"
"CRELD2",2.82223932790908e-61,0.347753915356847,0.307,0.073,5.23694729686809e-57,"B cells"
"NDUFB2",4.76681082417242e-61,-0.564916045466614,0.165,0.49,8.84529416533434e-57,"B cells"
"PEBP1",5.3582225367187e-61,-1.20683490830878,0.286,0.594,9.94271773913522e-57,"B cells"
"NDUFA4",9.19994436999057e-61,-0.642066865174378,0.319,0.632,1.70714167729545e-56,"B cells"
"COX8A",9.23473785378875e-61,-0.536341074768893,0.179,0.509,1.71359795614904e-56,"B cells"
"SOD1",2.2741464841133e-60,-0.650522034899091,0.193,0.524,4.21990621592063e-56,"B cells"
"RPS11",2.47540409062248e-60,-0.293466053069247,0.78,0.963,4.59335983055908e-56,"B cells"
"TSPO",3.14300438354122e-60,-0.512359470179989,0.097,0.401,5.83215893409909e-56,"B cells"
"CD38",3.98854034729716e-60,0.298374117547458,0.244,0.041,7.4011354684446e-56,"B cells"
"COX4I1",5.12786809980558e-60,-0.527164627216214,0.443,0.759,9.51527204599923e-56,"B cells"
"ELOB",1.0962124141884e-59,-0.585907315581625,0.271,0.587,2.034131755768e-55,"B cells"
"CLU",5.97472317250838e-59,-1.12880786065647,0.072,0.351,1.10866963189066e-54,"B cells"
"UQCRB",1.1657842058914e-58,-0.571486579034291,0.221,0.551,2.16322917245208e-54,"B cells"
"RTN4",2.54762877821682e-58,-0.470479134732597,0.061,0.346,4.72737996085913e-54,"B cells"
"PLPP5",3.12172745547734e-58,0.261130682286089,0.223,0.035,5.79267746638375e-54,"B cells"
"MS4A1",5.03708391581288e-58,0.288410844657798,0.128,0.009,9.34681291418238e-54,"B cells"
"GPX4",6.08401403802369e-58,-0.577202978614588,0.199,0.52,1.12894964489567e-53,"B cells"
"NDUFS5",1.0982231570991e-57,-0.545393888229344,0.17,0.491,2.03786289031309e-53,"B cells"
"CD3E",6.49438626974557e-57,-0.49574319893436,0.014,0.244,1.20509831621399e-52,"B cells"
"RPS2",2.12968986476495e-56,-0.329312120867586,0.925,0.992,3.95185251305784e-52,"B cells"
"PPIA",2.65658752919672e-56,-0.503915081713387,0.293,0.625,4.92956381917744e-52,"B cells"
"RHOA",4.31397168864477e-56,-0.528127254857025,0.164,0.474,8.00500586544924e-52,"B cells"
"ATP5MG",4.44021190794402e-56,-0.565204459172586,0.467,0.749,8.23925721638092e-52,"B cells"
"RHOC",5.32183142397846e-56,-0.456983545492072,0.037,0.296,9.87519039033444e-52,"B cells"
"ANXA5",5.38841298537878e-56,-0.436749408691395,0.053,0.321,9.99873913566887e-52,"B cells"
"VAMP5",1.21270877665601e-55,-0.527364764524663,0.053,0.318,2.25030240596289e-51,"B cells"
"MGST3",1.81412428535416e-55,-0.486120182771365,0.09,0.377,3.36628902390318e-51,"B cells"
"CDC42",1.88365461493374e-55,-0.516673049029593,0.116,0.41,3.49530950347106e-51,"B cells"
"EEF1D",2.3249785472381e-55,-0.556277438390845,0.695,0.871,4.31423019225502e-51,"B cells"
"ITGB2",3.50846368559065e-55,-0.555218689586141,0.077,0.351,6.51030521498201e-51,"B cells"
"ZFP36L1",4.76185104713239e-55,-0.709695001797891,0.121,0.419,8.83609080305886e-51,"B cells"
"MORF4L1",1.02257117162816e-54,-0.501117761904502,0.172,0.483,1.89748306607322e-50,"B cells"
"NDUFB1",1.35119075827163e-54,-0.514649733545338,0.179,0.491,2.50726957104884e-50,"B cells"
"ATP5MC2",2.10629731362736e-54,-0.528165153404135,0.319,0.636,3.90844529516694e-50,"B cells"
"SRGN",2.27094320167929e-54,-0.874929351560238,0.503,0.631,4.21396220503608e-50,"B cells"
"BEX3",3.23748470994103e-54,-0.590076937812617,0.06,0.323,6.00747662776658e-50,"B cells"
"RPL10A",5.55599532704994e-54,-0.403174487740557,0.736,0.931,1.03097049288739e-49,"B cells"
"RPS26",1.10547314421661e-53,-0.702137654516882,0.348,0.638,2.05131596640834e-49,"B cells"
"CD2",1.33279243898913e-53,-0.500050221514478,0.012,0.229,2.47312964978823e-49,"B cells"
"SDF2L1",2.30745073942886e-53,0.414527033096451,0.341,0.132,4.28170559208419e-49,"B cells"
"ATP5MPL",2.57103491906894e-53,-0.549987151944367,0.228,0.537,4.77081239582432e-49,"B cells"
"BRI3",2.71511272814075e-53,-0.53301668075238,0.124,0.418,5.03816317833797e-49,"B cells"
"CD27",2.95366094721331e-53,0.410163785774794,0.341,0.098,5.48081325364902e-49,"B cells"
"C9orf16",3.59277967130515e-53,-0.622161040885352,0.136,0.43,6.66676195807384e-49,"B cells"
"BTF3",4.69474166662168e-53,-0.482418070566206,0.324,0.644,8.71156263658318e-49,"B cells"
"CALM1",4.93994164274117e-53,-0.640770533096653,0.237,0.535,9.16655571227052e-49,"B cells"
"RPL18A",5.57291013129742e-53,-0.321074438749762,0.911,0.991,1.03410920396355e-48,"B cells"
"STAR",7.94668272699096e-53,-0.94328376618968,0.153,0.456,1.47458644682044e-48,"B cells"
"RNASE1",1.67171282916337e-52,-1.23541255548954,0.039,0.269,3.10203032579555e-48,"B cells"
"RHOB",3.83079319388004e-52,-0.71393694813961,0.087,0.353,7.1084198505638e-48,"B cells"
"NACA",4.89659101488572e-52,-0.513929648749198,0.591,0.831,9.08611428722194e-48,"B cells"
"RPS27L",1.0811030642754e-51,-0.604549953343596,0.228,0.519,2.00609484606943e-47,"B cells"
"SELENOP",2.21029321373673e-51,-0.99918827109299,0.043,0.283,4.10142008740987e-47,"B cells"
"FOSL2",2.27089493773581e-51,-0.400685411872775,0.029,0.262,4.21387264646256e-47,"B cells"
"CYBA",2.41911313466326e-51,0.489223740971207,0.917,0.666,4.48890633268115e-47,"B cells"
"GZMH",2.65012832995357e-51,-0.598337416268174,0.017,0.229,4.91757812906184e-47,"B cells"
"TPI1",3.34093729952055e-51,-0.503059887216198,0.167,0.467,6.19944325299034e-47,"B cells"
"DDX5",6.85551836050902e-51,-0.509237381076464,0.348,0.656,1.27210998697605e-46,"B cells"
"FYB1",7.25428561088355e-51,-0.424827210079679,0.032,0.269,1.34610523795555e-46,"B cells"
"FCGRT",2.54490583170624e-50,-0.631478465268122,0.066,0.319,4.7223272613141e-46,"B cells"
"GIMAP7",3.72153783608146e-50,-0.344117251225917,0.002,0.188,6.90568560863277e-46,"B cells"
"SUMO2",4.49881850400781e-50,-0.471873135397423,0.249,0.559,8.34800761603689e-46,"B cells"
"PTMS",4.7284882926574e-50,-0.374455582034988,0.029,0.257,8.77418287585506e-46,"B cells"
